n,p,total_s,read_s,compute_s,write_s,gflops_total,gflops_compute
10000,1,1.152097493,0.927719575,0.224008391,0.000299975,0.173596,0.892824
10000,2,0.965382889,0.854058773,0.110547271,0.000720046,0.207172,1.809181
10000,3,0.887456387,0.812889138,0.073836216,0.000683075,0.225363,2.708698
10000,4,0.960018676,0.903438086,0.055805102,0.000699585,0.208329,3.583902
10000,5,0.86599283,0.81693272,0.048298439,0.000671307,0.230949,4.140921
10000,6,0.974837638,0.932306362,0.04171788,0.000715236,0.205162,4.794107
10000,7,1.003511338,0.967503139,0.035166511,0.000750153,0.1993,5.687229
10000,8,0.91450322,0.882525555,0.030823477,0.001021146,0.218698,6.488561
10000,9,1.111671411,1.082937433,0.027625063,0.001033157,0.179909,7.239802
10000,10,1.006373681,0.97839356,0.02712774,0.000736365,0.198733,7.372527
10000,11,0.917891441,0.894410489,0.022642229,0.000751213,0.217891,8.833053
10000,12,1.092478486,1.069215608,0.022348313,0.000789578,0.18307,8.949221
11000,1,1.336491243,1.070220367,0.265853432,0.000354636,0.181071,0.910276
11000,2,1.176240974,1.041619579,0.133861161,0.000688918,0.20574,1.807843
11000,3,1.208495366,1.111979291,0.095438317,0.000999147,0.200249,2.535669
11000,4,1.230573995,1.160499928,0.069190425,0.000825586,0.196656,3.497594
11000,5,1.100665208,1.04325212,0.056546845,0.000765556,0.219867,4.279638
11000,6,1.082868682,1.034219148,0.047801116,0.00077215,0.22348,5.062643
11000,7,1.338355686,1.296818565,0.040723584,0.000718577,0.180819,5.942503
11000,8,1.219222428,1.181153114,0.037159522,0.000783351,0.198487,6.512463
11000,9,1.136494575,1.10196925,0.033718104,0.000737775,0.212935,7.177153
11000,10,1.095164085,1.063281888,0.03065569,0.001112209,0.220971,7.89413
11000,11,1.282178801,1.252220977,0.028710902,0.001136287,0.188741,8.428854
11000,12,1.349389406,1.322072538,0.026134209,0.001084622,0.17934,9.259894
12000,1,1.641383009,1.317864855,0.323046012,0.000405949,0.175462,0.891514
12000,2,1.41970599,1.25655206,0.162282391,0.000768896,0.202859,1.774684
12000,3,1.252547388,1.146122154,0.105603317,0.00076176,0.229931,2.727187
12000,4,1.448915668,1.360389983,0.087645626,0.000804013,0.198769,3.28596
12000,5,1.395117653,1.326992892,0.067244122,0.000785738,0.206434,4.282902
12000,6,1.458571802,1.400282363,0.057408416,0.000775098,0.197453,5.016686
12000,7,1.438234895,1.387497676,0.049797866,0.000783762,0.200245,5.78338
12000,8,1.422163364,1.375211972,0.045622003,0.001187817,0.202508,6.312743
12000,9,1.41981109,1.379385533,0.03938156,0.000850342,0.202844,7.313067
12000,10,1.369010636,1.33131159,0.036724876,0.000852937,0.210371,7.842096
12000,11,1.545652243,1.510840304,0.033589969,0.001058362,0.186329,8.573988
12000,12,1.565029008,1.532971061,0.030640064,0.001286699,0.184022,9.399458
13000,1,1.915289307,1.528466572,0.386395546,0.000356354,0.176475,0.874751
13000,2,1.896255194,1.705863852,0.189476927,0.000795915,0.178246,1.783858
13000,3,1.482036484,1.356160388,0.125034634,0.000776066,0.228065,2.703251
