n,trials,total_mean_s,total_std_s,read_mean_s,compute_mean_s,write_mean_s,total_gflops_s,compute_gflops_s
10000,5,0.605337572,0.027797768860715926,0.3737606048,0.2310663698,0.0004644394,0.33039416228404866,0.8655521795452554
11000,5,0.7385300158,0.050044781178528924,0.4579388142,0.2800774098,0.00046258000000000003,0.3276779478459757,0.8640468368113278
12000,5,0.8916110038,0.0537249762733537,0.5552439687999999,0.3358426572,0.0004716398,0.3230108183642405,0.8575444298860795
13000,5,1.0111237524,0.22772041584558203,0.6039848328,0.40646562599999997,0.0006015302,0.3342815349730676,0.8315586322175249
14000,5,1.2260107516,0.08749626525028041,0.7673655032,0.4580320834,0.0005388258,0.31973618460394587,0.8558352443133681
15000,5,1.4150724888,0.08590057820422208,0.8931729316,0.521269083,0.000531578,0.3180049103926866,0.8632777478575302
16000,5,1.4714825152,0.19366559839707273,0.8837048534,0.5871582508,0.0005361558,0.3479484089761069,0.8719966027938852
17000,5,1.9871612072,0.2904491945522459,1.3130094052,0.6734933852,0.0005390644,0.2908671918039443,0.85821184394908
18000,5,1.9774125576000001,0.19030585028894018,1.317160988,0.6595770362,0.0005607127999999999,0.32770096331666987,0.9824477876508583
19000,5,2.5566348074,0.6888315152015078,1.7187331198,0.837242937,0.0005405902,0.28240247606354324,0.8623542440227239
20000,5,2.4991277696,0.1398277808614074,1.5737407684,0.9247067928,0.0005579952,0.3201116844570315,0.8651390973106302
