n,trial_index,total_s,read_s,compute_s,write_s,compute_flops_count
10000,1,0.599864006,0.368172169,0.231506109,0.000134945,200000000.0
10000,2,0.656723022,0.42444396,0.231673002,0.000564098,200000000.0
10000,3,0.57989502,0.348721027,0.23059988,0.000533104,200000000.0
10000,4,0.60807085,0.377532005,0.229920864,0.000570059,200000000.0
10000,5,0.582134962,0.349933863,0.231631994,0.000519991,200000000.0
11000,1,0.704655886,0.426002026,0.278438091,0.000167847,242000000.0
11000,2,0.836630106,0.556155205,0.279867887,0.000553131,242000000.0
11000,3,0.711018085,0.428576946,0.281852007,0.000540972,242000000.0
11000,4,0.707515001,0.428016901,0.278903008,0.000545979,242000000.0
11000,5,0.732831001,0.450942993,0.281326056,0.000504971,242000000.0
12000,1,0.863119125,0.516080141,0.346809149,0.000180006,288000000.0
12000,2,0.961508989,0.62530899,0.33554101,0.000602007,288000000.0
12000,3,0.843888044,0.508827925,0.334477901,0.000531197,288000000.0
12000,4,0.838037968,0.506872892,0.330583096,0.000534058,288000000.0
12000,5,0.951500893,0.619129896,0.33180213,0.000510931,288000000.0
13000,1,0.984941006,0.596014977,0.388710022,0.000160933,338000000.0
13000,2,0.628417015,0.235684872,0.39210701,0.000554085,338000000.0
13000,3,1.007257938,0.600868225,0.405765057,0.000566959,338000000.0
13000,4,1.333549976,0.899487972,0.433151007,0.000810862,338000000.0
13000,5,1.101452827,0.687868118,0.412595034,0.000914812,338000000.0
14000,1,1.148654938,0.696774006,0.451563835,0.000236034,392000000.0
14000,2,1.381222963,0.921310186,0.459242821,0.000597,392000000.0
14000,3,1.260298014,0.787887096,0.471756935,0.000581026,392000000.0
14000,4,1.150709867,0.69790411,0.452139854,0.000607967,392000000.0
14000,5,1.189167976,0.732952118,0.455456972,0.000672102,392000000.0
15000,1,1.427885056,0.906111002,0.521426201,0.000243902,450000000.0
15000,2,1.565869093,1.043618917,0.521516085,0.000603914,450000000.0
15000,3,1.329106092,0.809509993,0.518893003,0.000586987,450000000.0
15000,4,1.33390522,0.812789917,0.52047205,0.000578165,450000000.0
15000,5,1.418596983,0.893834829,0.524038076,0.000644922,450000000.0
16000,1,1.541855812,0.957133055,0.584389925,0.000247002,512000000.0
16000,2,1.097718954,0.51275301,0.584236145,0.000640869,512000000.0
16000,3,1.488507032,0.901169062,0.586647034,0.000622034,512000000.0
16000,4,1.642840862,1.051800013,0.59032011,0.000634909,512000000.0
16000,5,1.586489916,0.995669127,0.59019804,0.000535965,512000000.0
17000,1,2.331313133,1.661327839,0.669531107,0.000380039,578000000.0
17000,2,2.354095936,1.680207968,0.673018932,0.000559092,578000000.0
17000,3,1.747200966,1.067869186,0.678609133,0.000649929,578000000.0
17000,4,1.760571957,1.08151412,0.678433895,0.000553131,578000000.0
17000,5,1.742624044,1.074127913,0.667873859,0.000553131,578000000.0
18000,1,2.271086931,1.348170996,0.922523022,0.000262976,648000000.0
18000,2,1.680311918,1.570180893,0.109416962,0.000613928,648000000.0
18000,3,2.043095112,1.28042388,0.761795044,0.000756979,648000000.0
18000,4,1.933713913,1.185873032,0.747171164,0.000590801,648000000.0
18000,5,1.958854914,1.201156139,0.756978989,0.00057888,648000000.0
19000,1,3.929146051,3.082034826,0.846645832,0.000281096,722000000.0
19000,2,2.328382969,1.491283178,0.836380005,0.000598907,722000000.0
19000,3,2.183058023,1.34829998,0.834084034,0.000592947,722000000.0
19000,4,2.167917013,1.330609798,0.836561918,0.00062108,722000000.0
19000,5,2.174669981,1.341437817,0.832542896,0.000608921,722000000.0
20000,1,2.387747049,1.459141016,0.928275108,0.000247002,800000000.0
20000,2,2.759094954,1.836374998,0.922047853,0.000563145,800000000.0
20000,3,2.520339012,1.594365835,0.924994946,0.000833035,800000000.0
20000,4,2.376117945,1.455204964,0.920188189,0.00057292,800000000.0
20000,5,2.452339888,1.523617029,0.928027868,0.000573874,800000000.0
