k,r,b,t,r_frac,b_frac,t_frac
100,35,43,22,0.35000000,0.43000000,0.22000000
200,70,91,39,0.35000000,0.45500000,0.19500000
300,98,142,60,0.32666667,0.47333333,0.20000000
400,136,187,77,0.34000000,0.46750000,0.19250000
500,167,235,98,0.33400000,0.47000000,0.19600000
600,202,276,122,0.33666667,0.46000000,0.20333333
700,232,322,146,0.33142857,0.46000000,0.20857143
800,257,371,172,0.32125000,0.46375000,0.21500000
900,290,415,195,0.32222222,0.46111111,0.21666667
1000,324,451,225,0.32400000,0.45100000,0.22500000
1100,351,506,243,0.31909091,0.46000000,0.22090909
1200,381,557,262,0.31750000,0.46416667,0.21833333
1300,415,597,288,0.31923077,0.45923077,0.22153846
1400,448,647,305,0.32000000,0.46214286,0.21785714
1500,485,689,326,0.32333333,0.45933333,0.21733333
1600,518,732,350,0.32375000,0.45750000,0.21875000
1700,543,781,376,0.31941176,0.45941176,0.22117647
1800,578,831,391,0.32111111,0.46166667,0.21722222
1900,610,867,423,0.32105263,0.45631579,0.22263158
2000,635,916,449,0.31750000,0.45800000,0.22450000
2100,671,954,475,0.31952381,0.45428571,0.22619048
2200,699,1013,488,0.31772727,0.46045455,0.22181818
2300,732,1061,507,0.31826087,0.46130435,0.22043478
2400,761,1113,526,0.31708333,0.46375000,0.21916667
2500,799,1151,550,0.31960000,0.46040000,0.22000000
2600,829,1200,571,0.31884615,0.46153846,0.21961538
2700,857,1238,605,0.31740741,0.45851852,0.22407407
2800,879,1283,638,0.31392857,0.45821429,0.22785714
2900,902,1336,662,0.31103448,0.46068966,0.22827586
3000,934,1374,692,0.31133333,0.45800000,0.23066667
3100,955,1433,712,0.30806452,0.46225806,0.22967742
3200,989,1482,729,0.30906250,0.46312500,0.22781250
3300,1013,1535,752,0.30696970,0.46515152,0.22787879
3400,1046,1580,774,0.30764706,0.46470588,0.22764706
3500,1078,1631,791,0.30800000,0.46600000,0.22600000
3600,1105,1674,821,0.30694444,0.46500000,0.22805556
3700,1145,1720,835,0.30945946,0.46486486,0.22567568
3800,1175,1767,858,0.30921053,0.46500000,0.22578947
3900,1208,1810,882,0.30974359,0.46410256,0.22615385
4000,1237,1858,905,0.30925000,0.46450000,0.22625000
4100,1270,1899,931,0.30975610,0.46317073,0.22707317
4200,1300,1940,960,0.30952381,0.46190476,0.22857143
4300,1337,1980,983,0.31093023,0.46046512,0.22860465
4400,1360,2028,1012,0.30909091,0.46090909,0.23000000
4500,1396,2071,1033,0.31022222,0.46022222,0.22955556
4600,1422,2123,1055,0.30913043,0.46152174,0.22934783
4700,1455,2176,1069,0.30957447,0.46297872,0.22744681
4800,1485,2217,1098,0.30937500,0.46187500,0.22875000
4900,1522,2251,1127,0.31061224,0.45938776,0.23000000
5000,1549,2292,1159,0.30980000,0.45840000,0.23180000
5100,1581,2339,1180,0.31000000,0.45862745,0.23137255
5200,1614,2383,1203,0.31038462,0.45826923,0.23134615
5300,1648,2425,1227,0.31094340,0.45754717,0.23150943
5400,1677,2471,1252,0.31055556,0.45759259,0.23185185
5500,1700,2517,1283,0.30909091,0.45763636,0.23327273
5600,1736,2557,1307,0.31000000,0.45660714,0.23339286
5700,1768,2607,1325,0.31017544,0.45736842,0.23245614
5800,1805,2648,1347,0.31120690,0.45655172,0.23224138
5900,1835,2697,1368,0.31101695,0.45711864,0.23186441
6000,1871,2735,1394,0.31183333,0.45583333,0.23233333
6100,1893,2787,1420,0.31032787,0.45688525,0.23278689
6200,1927,2838,1435,0.31080645,0.45774194,0.23145161
6300,1964,2890,1446,0.31174603,0.45873016,0.22952381
6400,1985,2945,1470,0.31015625,0.46015625,0.22968750
6500,2025,2984,1491,0.31153846,0.45907692,0.22938462
6600,2058,3025,1517,0.31181818,0.45833333,0.22984848
6700,2085,3079,1536,0.31119403,0.45955224,0.22925373
6800,2120,3118,1562,0.31176471,0.45852941,0.22970588
6900,2146,3173,1581,0.31101449,0.45985507,0.22913043
7000,2173,3226,1601,0.31042857,0.46085714,0.22871429
7100,2201,3270,1629,0.31000000,0.46056338,0.22943662
7200,2234,3315,1651,0.31027778,0.46041667,0.22930556
7300,2266,3363,1671,0.31041096,0.46068493,0.22890411
7400,2292,3415,1693,0.30972973,0.46148649,0.22878378
7500,2316,3467,1717,0.30880000,0.46226667,0.22893333
7600,2348,3517,1735,0.30894737,0.46276316,0.22828947
7700,2383,3557,1760,0.30948052,0.46194805,0.22857143
7800,2420,3599,1781,0.31025641,0.46141026,0.22833333
7900,2460,3638,1802,0.31139241,0.46050633,0.22810127
8000,2492,3685,1823,0.31150000,0.46062500,0.22787500
8100,2528,3726,1846,0.31209877,0.46000000,0.22790123
8200,2558,3773,1869,0.31195122,0.46012195,0.22792683
8300,2590,3818,1892,0.31204819,0.46000000,0.22795181
8400,2617,3863,1920,0.31154762,0.45988095,0.22857143
8500,2660,3901,1939,0.31294118,0.45894118,0.22811765
8600,2695,3943,1962,0.31337209,0.45848837,0.22813953
8700,2726,3990,1984,0.31333333,0.45862069,0.22804598
8800,2758,4031,2011,0.31340909,0.45806818,0.22852273
8900,2793,4078,2029,0.31382022,0.45820225,0.22797753
9000,2823,4124,2053,0.31366667,0.45822222,0.22811111
9100,2847,4181,2072,0.31285714,0.45945055,0.22769231
9200,2878,4224,2098,0.31282609,0.45913043,0.22804348
9300,2908,4271,2121,0.31268817,0.45924731,0.22806452
