H,reflected,absorbed,transmitted
0.5,0.08452,0.05459,0.86089
0.75,0.11645,0.08327,0.80028
1.0,0.14351,0.11106,0.74543
1.25,0.16706,0.1392,0.69374
1.5,0.18817,0.16696,0.64487
1.75,0.20633,0.19473,0.59894
2.0,0.22228,0.22208,0.55564
2.25,0.23374,0.24737,0.51889
2.5,0.24482,0.27263,0.48255
2.75,0.25384,0.29715,0.44901
3.0,0.26224,0.3201,0.41766
3.25,0.27007,0.34084,0.38909
3.5,0.27689,0.36356,0.35955
3.75,0.28239,0.38336,0.33425
4.0,0.28801,0.40064,0.31135
4.25,0.29147,0.41924,0.28929
4.5,0.29464,0.4353,0.27006
4.75,0.29792,0.45208,0.25
5.0,0.30067,0.46695,0.23238
