k,r,b,t,r_frac,b_frac,t_frac
100,31,38,31,0.31000000,0.38000000,0.31000000
200,59,74,67,0.29500000,0.37000000,0.33500000
300,87,117,96,0.29000000,0.39000000,0.32000000
400,116,155,129,0.29000000,0.38750000,0.32250000
500,146,196,158,0.29200000,0.39200000,0.31600000
600,173,243,184,0.28833333,0.40500000,0.30666667
700,206,278,216,0.29428571,0.39714286,0.30857143
800,235,309,256,0.29375000,0.38625000,0.32000000
900,269,342,289,0.29888889,0.38000000,0.32111111
1000,291,396,313,0.29100000,0.39600000,0.31300000
1100,326,429,345,0.29636364,0.39000000,0.31363636
1200,360,474,366,0.30000000,0.39500000,0.30500000
1300,387,511,402,0.29769231,0.39307692,0.30923077
1400,411,548,441,0.29357143,0.39142857,0.31500000
1500,443,581,476,0.29533333,0.38733333,0.31733333
1600,474,619,507,0.29625000,0.38687500,0.31687500
1700,503,653,544,0.29588235,0.38411765,0.32000000
1800,537,689,574,0.29833333,0.38277778,0.31888889
1900,559,724,617,0.29421053,0.38105263,0.32473684
2000,588,767,645,0.29400000,0.38350000,0.32250000
2100,615,815,670,0.29285714,0.38809524,0.31904762
2200,648,853,699,0.29454545,0.38772727,0.31772727
2300,675,886,739,0.29347826,0.38521739,0.32130435
2400,704,929,767,0.29333333,0.38708333,0.31958333
2500,719,981,800,0.28760000,0.39240000,0.32000000
2600,755,1023,822,0.29038462,0.39346154,0.31615385
2700,789,1060,851,0.29222222,0.39259259,0.31518519
2800,808,1105,887,0.28857143,0.39464286,0.31678571
2900,835,1150,915,0.28793103,0.39655172,0.31551724
3000,862,1190,948,0.28733333,0.39666667,0.31600000
3100,887,1237,976,0.28612903,0.39903226,0.31483871
3200,908,1284,1008,0.28375000,0.40125000,0.31500000
3300,938,1330,1032,0.28424242,0.40303030,0.31272727
3400,958,1381,1061,0.28176471,0.40617647,0.31205882
3500,986,1416,1098,0.28171429,0.40457143,0.31371429
3600,1016,1449,1135,0.28222222,0.40250000,0.31527778
3700,1034,1499,1167,0.27945946,0.40513514,0.31540541
3800,1062,1538,1200,0.27947368,0.40473684,0.31578947
3900,1093,1580,1227,0.28025641,0.40512821,0.31461538
4000,1119,1624,1257,0.27975000,0.40600000,0.31425000
4100,1149,1665,1286,0.28024390,0.40609756,0.31365854
4200,1182,1698,1320,0.28142857,0.40428571,0.31428571
4300,1211,1735,1354,0.28162791,0.40348837,0.31488372
4400,1238,1774,1388,0.28136364,0.40318182,0.31545455
4500,1262,1816,1422,0.28044444,0.40355556,0.31600000
4600,1286,1864,1450,0.27956522,0.40521739,0.31521739
4700,1321,1902,1477,0.28106383,0.40468085,0.31425532
4800,1357,1937,1506,0.28270833,0.40354167,0.31375000
4900,1376,1992,1532,0.28081633,0.40653061,0.31265306
5000,1398,2033,1569,0.27960000,0.40660000,0.31380000
5100,1426,2068,1606,0.27960784,0.40549020,0.31490196
5200,1456,2107,1637,0.28000000,0.40519231,0.31480769
5300,1484,2147,1669,0.28000000,0.40509434,0.31490566
5400,1513,2187,1700,0.28018519,0.40500000,0.31481481
5500,1533,2229,1738,0.27872727,0.40527273,0.31600000
5600,1561,2265,1774,0.27875000,0.40446429,0.31678571
5700,1590,2295,1815,0.27894737,0.40263158,0.31842105
5800,1621,2332,1847,0.27948276,0.40206897,0.31844828
5900,1644,2370,1886,0.27864407,0.40169492,0.31966102
