size,N,threads,iterations,time,speedup,efficiency
128x128,128,1,10,0.000991702025,1.0,1.0
128x128,128,2,10,0.0008462667500000001,1.171855121331424,0.585927560665712
128x128,128,3,10,0.000883936875,1.1219149840309581,0.37397166134365273
128x128,128,4,10,0.001013517475,0.9784755067987357,0.24461887669968393
128x128,128,5,10,0.0011333820999999999,0.8749935480717405,0.1749987096143481
128x128,128,6,10,0.00143826025,0.6895150060637496,0.1149191676772916
128x128,128,7,10,0.00137650975,0.7204467857928358,0.10292096939897655
128x128,128,8,10,0.001500726,0.6608148489464433,0.08260185611830541
128x128,128,9,10,0.00161278225,0.6149013761777202,0.0683223751308578
128x128,128,10,10,0.00173747525,0.570771885815352,0.057077188581535196
128x128,128,11,10,0.00186282375,0.5323649244862806,0.0483968113169346
128x128,128,12,10,0.00216323125,0.45843551169113333,0.038202959307594445
192x192,192,1,10,0.00224798925,1.0,1.0
192x192,192,2,10,0.00151026225,1.4884760908246235,0.7442380454123118
192x192,192,3,10,0.00126498925,1.7770817024729655,0.5923605674909885
192x192,192,4,10,0.00138771525,1.619921125749681,0.40498028143742026
192x192,192,5,10,0.00136524425,1.6465839354386589,0.32931678708773177
192x192,192,6,10,0.00156527775,1.436159972247737,0.23935999537462282
192x192,192,7,10,0.00184398875,1.2190905448853742,0.17415579212648202
192x192,192,8,10,0.0019707085,1.1407010473644377,0.1425876309205547
192x192,192,9,10,0.001862526,1.2069572451606045,0.1341063605734005
192x192,192,10,10,0.00203228,1.1061415011710984,0.11061415011710984
192x192,192,11,10,0.002115011,1.0628735500666426,0.0966248681878766
192x192,192,12,10,0.00228124875,0.9854204851619096,0.08211837376349247
256x256,256,1,10,0.0038025380000000003,1.0,1.0
256x256,256,2,10,0.0024015307500000003,1.5833809331818882,0.7916904665909441
256x256,256,3,10,0.00193798525,1.9621088447396595,0.6540362815798865
256x256,256,4,10,0.00192677975,1.973519806817567,0.49337995170439175
256x256,256,5,10,0.0019668339999999998,1.933329401464486,0.38666588029289717
256x256,256,6,10,0.0019075275,1.9934381024651022,0.3322396837441837
256x256,256,7,10,0.00201559075,1.886562537558778,0.2695089339369683
256x256,256,8,10,0.00220847125,1.7217964689375063,0.21522455861718828
256x256,256,9,10,0.0022128225,1.7184107627249816,0.19093452919166462
256x256,256,10,10,0.0022678374999999997,1.676724192099302,0.1676724192099302
256x256,256,11,10,0.002497792,1.522359748129548,0.13839634073904983
256x256,256,12,10,0.00262272375,1.4498431258724829,0.12082026048937357
128x128,128,1,30,0.00283396225,1.0,1.0
128x128,128,2,30,0.0020530225,1.3803853830145554,0.6901926915072777
128x128,128,3,30,0.0022214057499999997,1.2757517396360392,0.4252505798786797
128x128,128,4,30,0.00256526475,1.1047445492711816,0.2761861373177954
128x128,128,5,30,0.00302076325,0.9381609929212427,0.18763219858424854
128x128,128,6,30,0.0033379795,0.849005288977958,0.14150088149632634
128x128,128,7,30,0.00349783875,0.810203800847023,0.11574340012100329
128x128,128,8,30,0.003865242,0.7331914146643341,0.09164892683304177
128x128,128,9,30,0.004087925,0.6932520166098938,0.07702800184554376
128x128,128,10,30,0.0047162770000000005,0.600889695410172,0.0600889695410172
128x128,128,11,30,0.0048832895,0.5803387757371338,0.052758070521557614
128x128,128,12,30,0.0050637725,0.5596543387365842,0.04663786156138202
192x192,192,1,30,0.0058422685,1.0,1.0
192x192,192,2,30,0.00381660475,1.530750204091739,0.7653751020458694
192x192,192,3,30,0.00337606675,1.7304955537386812,0.576831851246227
192x192,192,4,30,0.00331473375,1.762515164302412,0.440628791075603
192x192,192,5,30,0.0033705235,1.733341571420582,0.3466683142841164
192x192,192,6,30,0.0040895345,1.4285900999245758,0.2380983499874293
192x192,192,7,30,0.004476726,1.3050315118682716,0.1864330731240388
192x192,192,8,30,0.00463551275,1.2603284286080325,0.15754105357600406
192x192,192,9,30,0.0047897700000000005,1.2197388392344517,0.13552653769271686
192x192,192,10,30,0.00556772925,1.0493090158793192,0.10493090158793192
192x192,192,11,30,0.00542122125,1.0776664944268783,0.0979696813115344
192x192,192,12,30,0.00603652,0.9678206151888836,0.08065171793240697
