N,P,I,time,speedup,efficiency
128,1,10,0.001034736475,1.0,1.0
128,2,10,0.000908255575,1.139256948684295,0.5696284743421475
128,3,10,0.0009354949,1.1060845708512146,0.3686948569504049
128,4,10,0.0009434818250000001,1.096721153054538,0.2741802882636345
128,5,10,0.001309216,0.7903481740217045,0.1580696348043409
128,6,10,0.001402199,0.7379383917689286,0.1229897319614881
128,7,10,0.00150048725,0.6896003114988147,0.09851433021411639
128,8,10,0.0017085075,0.6056376545025409,0.07570470681281762
128,9,10,0.001932502,0.5354387602186181,0.05949319557984646
128,10,10,0.00213253525,0.48521424206235275,0.04852142420623527
128,11,10,0.002101183,0.4924542388740057,0.044768567170364156
128,12,10,0.00229525575,0.4508153285314719,0.03756794404428932
128,1,30,0.002947092,1.0,1.0
128,2,30,0.002382696,1.2368728532720918,0.6184364266360459
128,3,30,0.00252872675,1.1654450208983633,0.3884816736327878
128,4,30,0.00262254475,1.1237527977358632,0.2809381994339658
128,5,30,0.00298386825,0.9876749752607207,0.19753499505214414
128,6,30,0.00380927325,0.7736625352355597,0.1289437558725933
128,7,30,0.0037814974999999997,0.77934521971785,0.11133503138826428
128,8,30,0.00406879175,0.7243162543278358,0.09053953179097947
128,9,30,0.00457650425,0.6439613816593747,0.0715512646288194
128,10,30,0.00482106225,0.6112951559586272,0.061129515595862716
128,11,30,0.00504672525,0.5839612528936462,0.053087386626695106
128,12,30,0.00556802725,0.5292883579188662,0.044107363159905516
128,1,50,0.0046916605,1.0,1.0
128,2,50,0.00372576725,1.2592468034604147,0.6296234017302074
128,3,50,0.0036925079999999997,1.2705891226234312,0.4235297075411437
128,4,50,0.004136026,1.134340185482393,0.2835850463705982
128,5,50,0.00424307575,1.105721598300478,0.2211443196600956
128,6,50,0.0055103897500000006,0.8514208092086407,0.14190346820144012
128,7,50,0.00637757775,0.7356492831467245,0.10509275473524636
128,8,50,0.00640833375,0.7321186260000894,0.09151482825001117
128,9,50,0.00721114875,0.6506120817435641,0.07229023130484045
128,10,50,0.0073710085,0.636501843675801,0.0636501843675801
128,11,50,0.00813472275,0.5767449788009062,0.05243136170917329
128,12,50,0.008200228,0.5721378112901251,0.04767815094084376
128,1,70,0.00637203475,1.0,1.0
128,2,70,0.005116999,1.2452679295032107,0.6226339647516054
128,3,70,0.005136013,1.2406578312788539,0.4135526104262846
128,4,70,0.0053862332500000006,1.1830224303784096,0.2957556075946024
128,5,70,0.00620073075,1.027626421289136,0.20552528425782718
128,6,70,0.007544219499999999,0.8446247819274082,0.14077079698790138
128,7,70,0.0081492065,0.7819208839535481,0.11170298342193544
128,8,70,0.00842654725,0.7561857260101402,0.09452321575126753
128,9,70,0.0092939735,0.6856093090861514,0.07617881212068349
128,10,70,0.01013713925,0.6285831330569914,0.06285831330569915
128,11,70,0.010358932500000001,0.6151246520816696,0.055920422916515417
128,12,70,0.0115004175,0.5540698631158391,0.04617248859298659
128,1,90,0.00802999725,1.0,1.0
128,2,90,0.00649970775,1.2354397395790604,0.6177198697895302
128,3,90,0.0064739585,1.2403535255902554,0.4134511751967518
