Problem Size,Threads,Iterations,Time(s),Speedup,Efficiency
128x128,1,10,0.0010,1.0000,1.0000
128x128,2,10,0.0008,1.1719,0.5859
128x128,3,10,0.0009,1.1219,0.3740
128x128,4,10,0.0010,0.9785,0.2446
128x128,5,10,0.0011,0.8750,0.1750
128x128,6,10,0.0014,0.6895,0.1149
128x128,7,10,0.0014,0.7204,0.1029
128x128,8,10,0.0015,0.6608,0.0826
128x128,9,10,0.0016,0.6149,0.0683
128x128,10,10,0.0017,0.5708,0.0571
128x128,11,10,0.0019,0.5324,0.0484
128x128,12,10,0.0022,0.4584,0.0382
192x192,1,10,0.0022,1.0000,1.0000
192x192,2,10,0.0015,1.4885,0.7442
192x192,3,10,0.0013,1.7771,0.5924
192x192,4,10,0.0014,1.6199,0.4050
192x192,5,10,0.0014,1.6466,0.3293
192x192,6,10,0.0016,1.4362,0.2394
192x192,7,10,0.0018,1.2191,0.1742
192x192,8,10,0.0020,1.1407,0.1426
192x192,9,10,0.0019,1.2070,0.1341
192x192,10,10,0.0020,1.1061,0.1106
192x192,11,10,0.0021,1.0629,0.0966
192x192,12,10,0.0023,0.9854,0.0821
256x256,1,10,0.0038,1.0000,1.0000
256x256,2,10,0.0024,1.5834,0.7917
256x256,3,10,0.0019,1.9621,0.6540
256x256,4,10,0.0019,1.9735,0.4934
256x256,5,10,0.0020,1.9333,0.3867
256x256,6,10,0.0019,1.9934,0.3322
256x256,7,10,0.0020,1.8866,0.2695
256x256,8,10,0.0022,1.7218,0.2152
256x256,9,10,0.0022,1.7184,0.1909
256x256,10,10,0.0023,1.6767,0.1677
256x256,11,10,0.0025,1.5224,0.1384
256x256,12,10,0.0026,1.4498,0.1208
128x128,1,30,0.0028,1.0000,1.0000
128x128,2,30,0.0021,1.3804,0.6902
128x128,3,30,0.0022,1.2758,0.4253
128x128,4,30,0.0026,1.1047,0.2762
128x128,5,30,0.0030,0.9382,0.1876
128x128,6,30,0.0033,0.8490,0.1415
128x128,7,30,0.0035,0.8102,0.1157
