Problem Size,Threads,Time(s),Speedup,Efficiency
128x128,1,0.0331,1.0000,1.0000
128x128,2,0.0310,1.0665,0.5332
128x128,3,0.0303,1.0905,0.3635
128x128,4,0.0311,1.0637,0.2659
128x128,5,0.0347,0.9522,0.1904
128x128,6,0.0389,0.8494,0.1416
128x128,7,0.0393,0.8413,0.1202
128x128,8,0.0394,0.8390,0.1049
128x128,9,0.0405,0.8170,0.0908
192x192,1,0.0734,1.0000,1.0000
192x192,2,0.0605,1.2135,0.6068
192x192,3,0.0581,1.2645,0.4215
192x192,4,0.0565,1.2992,0.3248
192x192,5,0.0574,1.2789,0.2558
192x192,6,0.0612,1.1995,0.1999
192x192,7,0.0647,1.1355,0.1622
192x192,8,0.0650,1.1290,0.1411
192x192,9,0.0657,1.1175,0.1242
256x256,1,0.1287,1.0000,1.0000
256x256,2,0.1010,1.2736,0.6368
256x256,3,0.0946,1.3600,0.4533
256x256,4,0.0947,1.3592,0.3398
256x256,5,0.0935,1.3761,0.2752
256x256,6,0.0944,1.3634,0.2272
256x256,7,0.0965,1.3338,0.1905
256x256,8,0.0991,1.2987,0.1623
256x256,9,0.1099,1.1705,0.1301
