n,p,a,b,answer,time_seconds,speedup,efficiency
100000000,1,10.0,20.0,2333.333333332452,0.220514,1.0,1.0
100000000,2,10.0,20.0,2333.333333333584,0.102144,2.1588541666666665,1.0794270833333333
100000000,3,10.0,20.0,2333.333333333147,0.069325,3.1808727010457987,1.0602909003485996
100000000,4,10.0,20.0,2333.333333333384,0.052187,4.2254584475060835,1.0563646118765209
100000000,5,10.0,20.0,2333.333333333177,0.042432,5.196879713423831,1.0393759426847662
100000000,6,10.0,20.0,2333.333333333259,0.035417,6.226219047350143,1.0377031745583571
100000000,7,10.0,20.0,2333.333333333227,0.030948,7.125306966524493,1.0179009952177847
100000000,8,10.0,20.0,2333.333333333365,0.02872,7.678064066852367,0.9597580083565459
100000000,9,10.0,20.0,2333.333333333316,0.025591,8.616857488960962,0.9574286098845514
100000000,10,10.0,20.0,2333.333333333313,0.022261,9.905844301693545,0.9905844301693545
100000000,11,10.0,20.0,2333.33333333339,0.020375,10.822773006134968,0.9838884551031789
100000000,12,10.0,20.0,2333.333333333347,0.019079,11.557943288432307,0.9631619407026922
300000000,1,10.0,20.0,2333.333333333536,0.608158,1.0,1.0
300000000,2,10.0,20.0,2333.333333333735,0.303936,2.0009409875763318,1.0004704937881659
300000000,3,10.0,20.0,2333.333333333098,0.207849,2.925960673373458,0.9753202244578194
300000000,4,10.0,20.0,2333.333333333148,0.152683,3.983141541625459,0.9957853854063647
300000000,5,10.0,20.0,2333.333333333256,0.12201,4.984493074338169,0.9968986148676338
300000000,6,10.0,20.0,2333.333333333317,0.104327,5.829344273294545,0.9715573788824242
300000000,7,10.0,20.0,2333.333333333222,0.090683,6.706416858727655,0.9580595512468079
300000000,8,10.0,20.0,2333.333333333415,0.084716,7.178785589499032,0.897348198687379
300000000,9,10.0,20.0,2333.333333333379,0.074834,8.126760563380282,0.9029733959311425
300000000,10,10.0,20.0,2333.333333333266,0.069538,8.745693002387183,0.8745693002387183
300000000,11,10.0,20.0,2333.333333333338,0.066206,9.18584418330665,0.8350767439369681
300000000,12,10.0,20.0,2333.333333333319,0.060674,10.023370801331707,0.8352809001109756
500000000,1,10.0,20.0,2333.333333332875,1.009731,1.0,1.0
500000000,2,10.0,20.0,2333.333333333288,0.504951,1.9996613532798229,0.9998306766399114
500000000,3,10.0,20.0,2333.333333333299,0.338103,2.986459747473403,0.9954865824911344
500000000,4,10.0,20.0,2333.333333333679,0.254542,3.9668541930211907,0.9917135482552977
500000000,5,10.0,20.0,2333.333333333397,0.204005,4.949540452439891,0.9899080904879781
500000000,6,10.0,20.0,2333.333333333562,0.173349,5.824844677500303,0.9708074462500504
500000000,7,10.0,20.0,2333.333333333363,0.153739,6.567825990802594,0.9382608558289419
500000000,8,10.0,20.0,2333.333333333544,0.136044,7.422091382199876,0.9277614227749845
